value,id.name,id.code,id.lat,id.lon,lat,lng,location
180,"Stockholm, Sweden (ARN)",ARN,59.651944,17.918611,59.651944,17.918611,"Stockholm, Sweden (ARN)"
150,"Frankfurt, Germany (FRA)",FRA,50.026421,8.543125,50.026421,8.543125,"Frankfurt, Germany (FRA)"
140,"Washington, United States (IAD)",IAD,38.944533,-77.455811,38.944533,-77.455811,"Washington, United States (IAD)"
110,"Tokyo, Japan (NRT)",NRT,35.764722,140.386389,35.764722,140.386389,"Tokyo, Japan (NRT)"
90,"Los Angeles, United States (LAX)",LAX,33.942536,-118.408075,33.942536,-118.408075,"Los Angeles, United States (LAX)"
80,"Singapore, Singapore (SIN)",SIN,1.350189,103.994433,1.350189,103.994433,"Singapore, Singapore (SIN)"
60,"Paris, France (CDG)",CDG,49.012779,2.55,49.012779,2.55,"Paris, France (CDG)"
60,"London, United Kingdom (LHR)",LHR,51.4775,-0.461389,51.4775,-0.461389,"London, United Kingdom (LHR)"
40,"San Jose, United States (SJC)",SJC,37.3626,-121.929022,37.3626,-121.929022,"San Jose, United States (SJC)"
30,"Amsterdam, Netherlands (AMS)",AMS,52.308613,4.763889,52.308613,4.763889,"Amsterdam, Netherlands (AMS)"
30,"Moscow, Russia (DME)",DME,55.408611,37.906111,55.408611,37.906111,"Moscow, Russia (DME)"
30,"Newark, United States (EWR)",EWR,40.6925,-74.168667,40.6925,-74.168667,"Newark, United States (EWR)"
30,"Dallas-Fort Worth, United States (DFW)",DFW,32.896828,-97.037997,32.896828,-97.037997,"Dallas-Fort Worth, United States (DFW)"
30,"Mumbai, India (BOM)",BOM,19.088686,72.867919,19.088686,72.867919,"Mumbai, India (BOM)"
20,"Denver, United States (DEN)",DEN,39.861656,-104.673178,39.861656,-104.673178,"Denver, United States (DEN)"
20,"Portland, United States (PDX)",PDX,45.588722,-122.5975,45.588722,-122.5975,"Portland, United States (PDX)"
20,"Warsaw, Poland (WAW)",WAW,52.16575,20.967122,52.16575,20.967122,"Warsaw, Poland (WAW)"
20,"Charlotte, United States (CLT)",CLT,35.214,-80.943139,35.214,-80.943139,"Charlotte, United States (CLT)"
20,"Chicago, United States (ORD)",ORD,41.978603,-87.904842,41.978603,-87.904842,"Chicago, United States (ORD)"
10,"Milano, Italy (MXP)",MXP,45.630606,8.728111,45.630606,8.728111,"Milano, Italy (MXP)"
10,"Hong Kong, Hong Kong (HKG)",HKG,22.308919,113.914603,22.308919,113.914603,"Hong Kong, Hong Kong (HKG)"
10,"Kyiv, Ukraine (KBP)",KBP,50.345,30.894722,50.345,30.894722,"Kyiv, Ukraine (KBP)"
10,"Madrid, Spain (MAD)",MAD,40.493556,-3.566764,40.493556,-3.566764,"Madrid, Spain (MAD)"
10,"Montreal, Canada (YUL)",YUL,45.470556,-73.740833,45.470556,-73.740833,"Montreal, Canada (YUL)"
10,"Erbil, Iraq (EBL)",EBL,36.237611,43.963158,36.237611,43.963158,"Erbil, Iraq (EBL)"
10,"Duesseldorf, Germany (DUS)",DUS,51.289453,6.766775,51.289453,6.766775,"Duesseldorf, Germany (DUS)"
10,"Seattle, United States (SEA)",SEA,47.449,-122.309306,47.449,-122.309306,"Seattle, United States (SEA)"
